uniqueid,hhid,surveyid,surveyor,surveydate,surveytime,survey_complete,superpresent,scrutinizedyn,backcheckedyn,sex,age,educ,income,addressdur,addressdur_unit,areadur,areadur_unit,occupation,occupationother,castename,castecode,literateyn,treatment,own4wheeleryn,own4wheelernum,own4wheelervalue,own4wheelertheft,own4wheelertheftnum,theftfromcaryn,theftfromcarnum,own2wheeleryn,own2wheelernum,own2wheelervalue,own2wheelertheft,own2wheelertheftnum,own2wheelertheftvictim_1,own2wheelertheftvictim_2,cycleownyn,cycleownnum,cycleownvalue,cycletheftyn,cycletheftnum,cycletheftvictim_1,cycletheftvictim_2,burglaryyn,burglarynum,attemptedburglaryyn,attemptedburglarynum,vandalismyn,vandalismnum,trespassingyn,trespassingnum,robberyyn,robberynum,robberyvictim_1,robberyvictim_2,theftyn,theftnum,theftvictim_1,theftvictim_2,thanavisityn,thanavisitreason,thanavisitreason_other,surveytime2,thanavisitreason_other2,exit,base_age,base_income,base_educ
246,1404039,229,Caroline,09212014,6486,1,0,1,0,2,28,0,2518,30,1,30,4,1,,BABARI,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,108.1,NA,1,27,1739,None or anganwadi
247,1405013,245,Anna,09112013,6506,1,0,1,NA,2,70,0,1342,50,1,50,1,1,,BABARTHA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
248,1405048,253,David,08172013,9531,0,0,1,0,1,36,0,2712,36,2,17,2,1,,HARIJAN,3,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,158.85001,NA,1,35,2850,None or anganwadi
249,1405051,227,Anna,09162013,6758,1,0,1,NA,2,60,0,2417,66,3,66,4,1,,SWAMI,NA,0,0,1,1,3241,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,112.63333,NA,1,59,1792,None or anganwadi
250,1405054,225,Joseph,08302013,8917,0,0,1,1,2,22,0,2053,26,2,26,3,1,,MARKAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,148.61667,NA,1,21,2246,None or anganwadi
251,1405056,252,Anna,09282014,7685,1,0,1,0,1,1985,3,3192,52,3,52,4,1,,SIDHA,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3314,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,128.08333,NA,1,1985,4294,3
252,1405057,246,Anna,09292013,8122,1,0,1,0,1,40,0,3585,35,1,35,1,1,,RAJPUT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,135.36667,NA,1,39,3279,None or anganwadi
253,1406006,240,Sam,11212013,7336,1,0,1,NA,1,28,9,1762,28,3,28,4,1,,KUMHAR,NA,1,1,1,2,2793,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,1,1,2756,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,122.26667,NA,1,27,-28,9
254,1406009,235,John,08302013,6844,1,0,1,NA,1,30,4,4267,30,1,30,1,1,,KUMHAR,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,114.06667,NA,1,29,1332,4
255,1406016,219,John,12192013,7050,1,0,1,0,1,40,0,2413,40,1,40,3,1,,MANDA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3238,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.5,NA,1,39,1561,None or anganwadi
256,1406022,215,Sam,08222013,6145,1,0,1,0,1,40,3,2056,40,1,40,1,1,,MEDHWAKA,NA,1,1,1,1,2505,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,1,2,3379,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,102.41666,NA,1,39,1180,3
257,1406030,217,Sam,11232013,8843,1,0,1,0,2,1980,0,3523,33,1,33,3,10,,JAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2946,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,147.38333,NA,1,1980,2616,None or anganwadi
258,1406043,221,John,10192013,6582,1,0,1,0,1,28,9,5624,28,2,28,3,1,,SUDHAR,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3238,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,109.7,NA,1,27,3137,9
259,1501007,261,Mary,08242014,6642,1,0,1,0,1,35,0,3674,35,1,35,1,2,,MEHRAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,99,,,110.7,NA,1,34,1470,None or anganwadi
260,1501017,264,Caroline,10282014,7126,1,0,1,1,2,35,0,2433,40,2,40,2,6,,MEHRAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2761,2,NA,NA,NA,1,1,2532,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,118.76667,NA,1,34,2749,None or anganwadi
261,1501047,271,Mary,11252013,7423,1,0,1,0,2,25,0,2265,80,1,80,2,1,,JHUTHA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3285,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,123.71667,NA,1,24,2969,None or anganwadi
262,1502010,332,Caroline,10102014,5405,1,0,1,1,1,26,8,969,50,2,50,3,2,,VAISHNAV SADHU,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,90.083336,NA,1,25,4685,8
263,1502019,325,Peter,12142014,8170,1,0,1,0,1,1984,0,2424,54,1,15,4,1,,GURJAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2882,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,136.16667,NA,1,1984,799,None or anganwadi
264,1502036,328,David,09202013,7824,1,0,1,0,1,1977,8,2344,53,2,53,4,1,,GURJAR,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,2,3376,2,NA,NA,NA,1,2,2614,1,4,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,1,1,1,NA,1,Other,DUSRE KA RAJINAMA KARANE,130.39999,NA,1,1977,2646,8
265,1502038,324,David,09172013,6164,1,0,1,0,2,53,0,0,53,3,53,4,6,,GU RJER,NA,0,0,1,1,3359,0,NA,0,NA,1,1,3129,2,NA,NA,NA,1,1,2970,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,102.73333,NA,1,52,3143,None or anganwadi
266,1502045,320,John,08282013,9610,0,1,1,1,1,60,0,293,60,1,60,1,2,,GURJAR,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
267,1502046,327,John,08232014,6532,1,0,1,1,1,45,0,4121,45,4,45,4,4,,GU RJAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,3,3363,2,NA,NA,NA,1,1,3305,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,108.86667,NA,1,44,1485,None or anganwadi
268,1502052,331,Caroline,11102013,5799,1,0,1,0,1,1986,0,3067,70,1,70,2,2,,"KUMHAR,",2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2819,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,96.650002,NA,1,1986,3293,None or anganwadi
269,1503006,281,Mary,11122013,7001,1,0,1,1,2,1986,9,843,40,1,40,3,4,,KHATIK,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3364,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,116.68333,NA,1,1986,1877,9
270,1503012,284,David,12232014,8649,1,1,1,1,1,1981,7,3227,68,1,68,1,9,,BHAAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,144.14999,NA,1,1981,495,7
271,1503025,282,Peter,11232014,6925,1,0,1,0,1,72,9,1821,72,1,40,3,6,,KUMHAR,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,115.41666,NA,1,71,2423,9
272,1503029,285,Mary,08152014,5998,1,0,1,0,1,60,4,1713,60,1,60,1,3,,"PRAJAPATI,",NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,99.966667,NA,1,59,3507,4
273,1503037,289,John,11202014,7317,1,0,1,0,2,1985,0,2508,35,1,35,2,6,,RAWAT,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.95,NA,1,1985,2498,None or anganwadi
274,1503038,290,John,10142013,8890,1,0,1,0,1,38,5,968,38,2,38,2,6,,RA WAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3204,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,148.16667,NA,1,37,2374,5
275,1503048,288,Benjamin,10212014,7318,1,0,1,0,2,1981,0,2056,40,1,40,2,1,, RAWAT,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3139,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.96667,NA,1,1981,2547,None or anganwadi
276,1504011,342,Grace,08292013,6977,1,0,1,0,2,45,0,2008,50,3,50,3,1,,JAAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3288,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,116.28333,NA,1,44,1928,None or anganwadi
277,1504034,337,Benjamin,10152014,7493,1,0,1,1,1,43,13,2426,70,1,10,1,1,,JAAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3241,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,124.88333,NA,1,42,2823,University but not graduate
278,1504038,334,Mary,12162013,8721,1,0,1,1,1,42,8,3051,62,2,42,4,5,,JAAT,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3429,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,145.35001,NA,1,41,2942,8
279,1504039,355,Mary,09212013,5817,1,0,1,0,1,1979,8,2773,59,1,59,1,1,,JAAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,2755,2,NA,NA,NA,1,1,2800,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,96.949997,NA,1,1979,2005,8
280,1504043,340,Mary,08192014,7462,1,0,1,0,1,30,0,1785,75,1,10,2,2,,CHAUDHARY,NA,0,1,1,1,3474,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,1,2,3012,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,124.36667,NA,1,29,2126,None or anganwadi
281,1504046,351,Sam,08212014,6647,1,0,1,1,1,35,12,3267,55,1,55,2,7,,BRAHMAN,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3308,1,1,1,NA,1,1,2723,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,110.78333,NA,1,34,3611,12
282,1504051,353,Grace,12262014,6302,1,0,1,0,2,1980,0,3213,40,1,40,4,3,,"RAIDAS,",3,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2959,2,NA,NA,NA,1,1,2775,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,105.03333,NA,1,1980,1540,None or anganwadi
283,1505001,307,David,09102014,6715,1,0,1,0,2,68,2,3296,72,1,72,1,6,,BRAHMAN,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,111.91666,NA,1,67,2230,2
284,1505017,315,Sam,11292013,7317,1,0,1,1,1,76,5,3448,20,2,20,4,1,,MEGHWAR,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2570,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.95,NA,1,75,535,5
285,1505022,313,John,08272013,8576,1,0,1,1,2,40,5,2253,28,1,28,2,5,,RAJPUT,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3441,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,142.93333,NA,1,39,2276,5
286,1505043,322,John,08252013,4821,1,0,1,0,2,45,0,686,28,1,28,3,5,,BHAAT,NA,0,1,2,NA,NA,NA,NA,NA,NA,1,1,2677,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,80.349998,NA,1,44,2711,None or anganwadi
287,1506025,249,Benjamin,12292014,7694,1,0,1,0,1,57,10,3415,50,2,50,3,9,,CHAURASIA,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,2,3029,2,NA,NA,NA,1,1,3491,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,128.23334,NA,1,56,2187,10
288,1506034,262,Benjamin,10112013,5075,1,0,1,1,2,1971,8,2248,70,2,70,4,10,,SEN,NA,1,0,1,1,2996,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,84.583336,NA,1,1971,1834,8
289,1506054,251,Benjamin,11142014,8258,0,0,1,0,1,1976,13,3451,68,2,40,3,4,,"KHATRI,",NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,2631,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,137.63333,NA,1,1976,3450,University but not graduate
290,1507001,267,David,11132014,9618,1,0,1,0,2,78,0,3578,78,1,78,1,2,,SAHU,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2951,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,160.3,NA,1,77,2731,None or anganwadi
291,1507010,255,David,12302014,6382,1,0,1,0,1,48,6,2698,48,1,48,1,1,,JAAT,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,106.36667,NA,1,47,1812,6
292,1507013,263,David,11142014,8799,1,0,1,0,1,63,0,4479,63,1,4,4,2,,REGAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,146.64999,NA,1,62,2840,None or anganwadi
293,1507027,278,Mary,09272014,7843,1,0,1,0,1,70,0,2125,70,1,70,1,1,,GURJAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3148,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,130.71666,NA,1,69,2870,None or anganwadi
294,1507032,274,David,08252014,7132,1,0,1,0,2,60,0,79,60,1,60,1,1,,GURJAR,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,118.86667,NA,1,59,2128,None or anganwadi
295,1507053,269,Mary,09102013,6265,1,0,1,0,1,51,8,2870,51,2,51,3,6,, VAISHNAV,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3076,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,104.41666,NA,1,50,2389,8
296,1507056,273,Mary,08282013,7350,1,0,1,0,2,1984,0,1054,65,1,65,4,1,,GURJAR,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,122.5,NA,1,1984,3483,None or anganwadi
297,1508005,299,John,12152013,8345,1,0,1,0,2,45,0,2056,50,1,20,4,4,,SYED,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,139.08333,NA,1,44,2434,None or anganwadi
298,1508009,302,John,08172014,8496,1,0,1,0,2,35,0,3122,50,1,1,1,2,,SIYA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,141.60001,NA,1,34,1356,None or anganwadi
299,1508027,298,Mary,10172014,8224,1,0,1,1,1,28,0,2368,28,1,28,2,2,,REGAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,137.06667,NA,1,27,753,None or anganwadi
300,1508034,295,David,12192014,8031,1,0,1,1,1,30,9,1631,30,2,30,3,2,,ZAFRI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2953,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,133.85001,NA,1,29,1678,9
301,1508045,304,Anna,09222013,6355,1,0,1,0,1,75,0,879,75,1,75,1,2,,RAIDAS.,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2850,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,105.91666,NA,1,74,1090,None or anganwadi
302,1508050,303,Anna,09252014,5457,1,0,1,0,2,60,0,3008,60,1,60,1,1,,POSWAL GURJAR,NA,0,1,2,NA,NA,NA,NA,NA,NA,1,1,2804,2,NA,NA,NA,1,1,2580,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,90.949997,NA,1,59,4019,None or anganwadi
303,1509002,260,Sam,11142014,8396,1,0,1,1,1,58,11,3233,24,1,2,4,9,,MEGHVANSHI,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2771,2,NA,NA,NA,1,1,3254,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,139.93333,NA,1,57,1520,11
304,1509006,256,Anna,12122013,9141,1,0,1,0,1,25,5,1512,25,2,25,2,1,,RAWAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,152.35001,NA,1,24,2296,5
305,1509010,277,Sam,10222013,4969,1,0,1,1,1,45,0,2538,45,1,10,1,1,,RAWAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,82.816666,NA,1,44,878,None or anganwadi
306,1509011,279,Sam,11302013,9487,1,0,1,0,1,35,5,2360,35,2,35,3,2,, RAWAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,158.11667,NA,1,34,1683,5
307,1509034,276,Anna,10172014,6047,1,0,1,0,2,22,0,2410,50,1,50,3,1,,"KUMHAAR,",2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,100.78333,NA,1,21,2058,None or anganwadi
308,1509042,272,Benjamin,11272014,7247,1,0,1,0,1,36,8,2881,55,2,55,3,1,, RAJPUT,NA,1,1,1,1,3385,0,NA,0,NA,1,1,3329,2,NA,NA,NA,1,1,2533,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,120.78333,NA,1,35,2581,8
309,1510006,268,Benjamin,08292014,7248,0,0,1,0,2,65,0,1807,30,2,30,2,10,,RAJPUT PAWAR.,NA,0,1,2,NA,NA,NA,NA,NA,NA,1,1,3307,2,NA,NA,NA,1,3,3493,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,120.8,NA,1,64,1636,None or anganwadi
310,1510012,248,Grace,12112014,6563,1,0,1,1,1,23,7,4434,20,1,20,1,3,,MEGHVANSHI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,-999,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,109.38333,NA,1,22,3024,7
311,1510038,247,Sam,11162014,7815,0,0,1,1,2,18,10,3228,17,1,17,2,4,,"MALI,",NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2996,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,130.25,NA,1,17,3471,10
312,1511017,254,Grace,09182014,7656,1,0,1,1,2,55,0,4137,55,1,55,2,5,,MUGAL,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3163,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,127.6,NA,1,54,1469,None or anganwadi
313,1511018,266,Grace,12212014,8379,0,0,1,1,1,50,8,1071,50,3,50,4,1,,RATHORE,1,1,0,2,NA,NA,NA,NA,NA,NA,1,1,3147,2,NA,NA,NA,1,1,3234,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,139.64999,NA,1,49,6063,8
314,1511033,265,Joseph,08172013,8234,1,0,1,1,1,39,7,1943,39,1,20,1,4,, ARORA,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,137.23334,NA,1,38,4039,7
315,1511039,270,Caroline,12282013,7419,1,0,1,0,2,19,13,2191,48,3,48,4,5,,JAIN,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3055,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,123.65,NA,1,18,2355,University but not graduate
316,1511060,275,Joseph,11302013,8894,1,0,1,1,1,45,15,5488,32,1,32,2,5,,JAIN,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3062,2,NA,NA,NA,1,1,3221,1,1,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
317,1512007,308,Peter,12202014,7553,1,0,1,0,2,65,0,0,70,1,70,2,2,,DEVARSHI,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,125.88333,NA,1,64,2175,None or anganwadi
318,1512033,311,Mary,10152014,6158,1,0,1,1,1,22,10,547,42,1,42,2,1,,JAAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,3018,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,102.63333,NA,1,21,3597,10
